row,tile,scope,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio,raw_coverage,common_mask_frac
mosaic,E-12_N44,tile,2052385,56,0.23970570900106528,0.13056799684835166,0.16412715920870197,0.10913771215271362,1.4604877715348659,1.0,0.9382584490278824
F_h1only,E-12_N44,tile,2052385,56,0.17542036765585126,0.11462443097637993,0.1379944088664576,0.06079593667947132,1.2712135882665518,0.9382584490278824,0.9382584490278824
F_full,E-12_N44,tile,2052385,56,0.1557441786016893,0.17299643018150332,0.2062694915477247,-0.017252251579814026,0.7550519344042436,0.9382584490278824,0.9382584490278824
F_resid,E-12_N44,tile,2052385,56,0.19809135763735733,0.15228034816568367,0.17998700705346826,0.04581100947167366,1.100586986140121,0.9382584490278824,0.9382584490278824
F_pfree,E-12_N44,tile,2052385,56,0.3397885444040103,0.24242941081151065,0.28794222760974153,0.09735913359249965,1.1800580527026343,0.9382584490278824,0.9382584490278824
mosaic,E-8_N32,tile,2181032,53,0.14028904147085478,0.07578007395412273,0.10688152194374892,0.06450896751673205,1.31256590399871,0.9994148413602927,0.997070092404778
F_h1only,E-8_N32,tile,2181032,53,0.19302268516809606,0.11163256334638835,0.1490254499134936,0.08139012182170771,1.2952330308691704,0.9970742068014634,0.997070092404778
F_full,E-8_N32,tile,2181032,53,0.07072552429470215,0.028212518636577026,0.04367746091607225,0.04251300565812512,1.6192682177795017,0.9970742068014634,0.997070092404778
F_resid,E-8_N32,tile,2181032,53,0.12432763452300494,0.08527630762703788,0.10087041960162217,0.03905132689596706,1.2325480057882652,0.9970742068014634,0.997070092404778
F_pfree,E-8_N32,tile,2181032,53,0.19790062065960812,0.13316370918920722,0.14697107843558285,0.06473691147040089,1.346527648610455,0.9970742068014634,0.997070092404778
mosaic,E-8_N36,tile,2115742,47,0.2262429430239148,0.12381146851459054,0.14025704843699685,0.10243147450932424,1.613059347427681,1.0,0.9672224302278324
F_h1only,E-8_N36,tile,2115742,47,0.21796513963954645,0.15911239061626928,0.19701688085788996,0.05885274902327717,1.1063272278519456,0.9672224302278324,0.9672224302278324
F_full,E-8_N36,tile,2115742,47,0.13458055009533204,0.13003097896551366,0.15853364133398018,0.0045495711298183805,0.848908464871588,0.9672224302278324,0.9672224302278324
F_resid,E-8_N36,tile,2115742,47,0.11217800703679234,0.1051535977289764,0.12526988982073542,0.007024409307815949,0.8954905859446519,0.9672224302278324,0.9672224302278324
F_pfree,E-8_N36,tile,2115742,47,0.14808617725018577,0.12585107039643018,0.14388578450286876,0.0222351068537556,1.0291925485330573,0.9672224302278324,0.9672224302278324
mosaic,E-8_N40,tile,2005147,38,0.26151149958140074,0.20728639000997262,0.23965682814657047,0.05422510957142812,1.0911915241633103,1.0,0.9166633522915589
F_h1only,E-8_N40,tile,2005147,38,0.3192042535850851,0.2297431552366584,0.26433462313875394,0.08946109834842669,1.207576403706786,0.9166633522915589,0.9166633522915589
F_full,E-8_N40,tile,2005147,38,0.169802928407241,0.08631956679977575,0.1377309504849964,0.08348336160746526,1.2328596282049062,0.9166633522915589,0.9166633522915589
F_resid,E-8_N40,tile,2005147,38,0.22892331305150865,0.1886767253003006,0.21655988138216237,0.04024658775120804,1.0570901294849187,0.9166633522915589,0.9166633522915589
F_pfree,E-8_N40,tile,2005147,38,0.14621427504638476,0.11437013246216969,0.15146095299769902,0.03184414258421507,0.9653595342728765,0.9166633522915589,0.9166633522915589
mosaic,E-8_N44,tile,2185706,32,0.21115733315023366,0.10441339384545682,0.13044810311488575,0.10674393930477684,1.6187075787853138,1.0,0.9992068357500842
F_h1only,E-8_N44,tile,2185706,32,0.32040090338065513,0.1385239320880805,0.17339779913562717,0.18187697129257463,1.8477795276400597,0.9992068357500842,0.9992068357500842
F_full,E-8_N44,tile,2185706,32,0.3232290507091421,0.29049842091189915,0.3109055444687173,0.03273062979724295,1.039637460507446,0.9992068357500842,0.9992068357500842
F_resid,E-8_N44,tile,2185706,32,0.1153152569510569,0.12341573035266606,0.13539224886435824,-0.00810047340160916,0.851712398001341,0.9992068357500842,0.9992068357500842
F_pfree,E-8_N44,tile,2185706,32,0.165247765944566,0.15174909392922048,0.16552507425747154,0.01349867201534552,0.9983246748920095,0.9992068357500842,0.9992068357500842
mosaic,E-4_N32,tile,2176659,51,0.05140227927588002,0.0268438744867578,0.04777692678131721,0.02455840478912222,1.075880822371783,1.0,0.9950709527708405
F_h1only,E-4_N32,tile,2176659,51,0.13319529690689977,0.10752734875039242,0.14242981332530802,0.025667948156507345,0.9351644420307094,0.9950709527708405,0.9950709527708405
F_full,E-4_N32,tile,2176659,51,0.31850846426515966,0.2801935487786088,0.3442880657429239,0.03831491548655086,0.9251220008973137,0.9950709527708405,0.9950709527708405
F_resid,E-4_N32,tile,2176659,51,0.19281128797862887,0.18626460498082606,0.2180176973989993,0.006546682997802811,0.8843836545331475,0.9950709527708405,0.9950709527708405
F_pfree,E-4_N32,tile,2176659,51,0.21015136334351103,0.18088849342471863,0.20534981846080547,0.0292628699187924,1.0233822699172341,0.9950709527708405,0.9950709527708405
mosaic,E-4_N36,tile,2043670,55,0.09405912077392513,0.04248633152067712,0.054469360028723664,0.05157278925324801,1.7268262510212045,0.9996278756775612,0.9342743415708127
F_h1only,E-4_N36,tile,2043670,55,0.12058889895158396,0.08470849258579481,0.10992884165451063,0.03588040636578915,1.0969723426230238,0.9343026851924234,0.9342743415708127
F_full,E-4_N36,tile,2043670,55,0.16380163818256646,0.137915698083972,0.16194457763414694,0.025885940098594462,1.011467259821535,0.9343026851924234,0.9342743415708127
F_resid,E-4_N36,tile,2043670,55,0.04150745657733804,0.06240036374981932,0.08219958767910897,-0.02089290717248128,0.504959425579785,0.9343026851924234,0.9342743415708127
F_pfree,E-4_N36,tile,2043670,55,0.04853737164167303,0.061518505668241984,0.07766313023961302,-0.012981134026568954,0.6249731563989415,0.9343026851924234,0.9342743415708127
mosaic,E-4_N40,tile,2037550,56,0.16307401858384973,0.0692741671390535,0.09307674695648473,0.09379985144479623,1.752038225617083,1.0,0.9314765518247121
F_h1only,E-4_N40,tile,2037550,56,0.13115280245781358,0.08120287361815068,0.1014224044992406,0.0499499288396629,1.2931344223730723,0.9314765518247121,0.9314765518247121
