obs_id,n,rich_rate,ap_h1only,ap_full,ap_resid,ap_pfree,d_ap_full,sd_off_full,mean_off_full,d_ap_resid,sd_off_resid,mean_off_resid,d_ap_pfree,sd_off_pfree,mean_off_pfree
ESP_055055_2255,4397,0.04889697521037071,0.1725282752602502,0.17252806295641443,0.1725282752602502,0.1725282752602502,-2.1230383576154033e-07,1.0899761491109795e-05,5.102299732818051,0.0,3.226236248957833e-08,-1.8641999999394003,0.0,3.9044469459448726e-08,-1.4016999998731638
ESP_055253_2245,2596,0.05624036979969183,0.04179933256520137,0.04322362929481352,0.044320315994512034,0.04335658693730158,0.001424296729612147,0.5079667468889224,3.3798006203671966,0.002520983429310661,0.6363884969523372,-0.08770619901569206,0.0015572543721002058,0.5230700677517425,0.38594318126696286
ESP_055978_2270,5487,0.017313650446509933,0.6302235849376057,0.6314251602768179,0.6303281012819,0.6302836525972731,0.0012015753392122797,0.017071743647121846,9.677746807492852,0.00010451634429431422,0.026110480283446452,-0.6848221501241443,6.0067659667484286e-05,0.01802391105404046,-1.4410822036581568
ESP_059421_2170,4570,0.043982494529540485,0.20831562753483623,0.2056993874059253,0.20584367695248235,0.20572953357276227,-0.0026162401289109294,0.2832111897210987,-9.008158832299468,-0.002471950582353888,0.21383856846319135,-0.7422713731197274,-0.00258609396207396,0.27539492421377554,-1.8410215711832267
ESP_063429_2240,2102,0.544243577545195,0.7052054126927904,0.7061519783173417,0.7058001292490941,0.7059969386402414,0.0009465656245513099,0.05191360531613991,4.976509299528323,0.0005947165563037204,0.034657185054675334,-0.2058578443089931,0.0007915259474510217,0.042935863882176364,0.7667538388685349
ESP_064510_2260,4503,0.2804796802131912,0.7446363338942227,0.7394031885775523,0.735704614281974,0.7395055372947523,-0.005233145316670407,0.009449126249710135,9.540125480588754,-0.0089317196122487,0.017207133202808974,-0.6966966295756559,-0.005130796599470355,0.010092957862420112,-1.5683163397622566
ESP_068402_2240,5936,0.12230458221024258,0.26144062006238056,0.2527889798438139,0.25323188601557506,0.25317578317954076,-0.00865164021856668,0.3016843315721779,4.689291136052167,-0.0082087340468055,0.24879870676672194,-0.06419382905297516,-0.008264836882839799,0.2485736420998913,0.7786653414943815
ESP_069669_2220,4428,0.018518518518518517,0.03942081302287022,0.031639264547555716,0.034331482633180394,0.03445350790422306,-0.007781548475314502,0.18217987513644546,1.0627220775074617,-0.005089330389689825,0.11574312556685822,0.991740872730914,-0.00496730511864716,0.11223266045021646,3.2253972221905265
ESP_071699_2260,3012,0.502324037184595,0.8791214465605931,0.8778257263194184,0.8752148801171383,0.8772518268586453,-0.001295720241174747,0.14757440595797358,10.093006687438887,-0.003906566443454773,0.1902552487218618,0.12609421190329229,-0.0018696197019477667,0.16196363132303507,-0.9373057094046888
ESP_076565_2215,2449,0.1278072682727644,0.4043858873860439,0.3942423502740441,0.39076177970271553,0.39205529244775644,-0.010143537111999834,0.07227145972800374,3.110000616899846,-0.01362410768332839,0.09387717428335823,-0.37151715399585755,-0.012330594938287476,0.08700296597930529,-0.005737038217242606
ESP_076723_2265,6336,0.5291982323232324,0.8642854549361112,0.8640739029456133,0.8642854463065,0.8642854375729838,-0.00021155199049793794,0.14932797679449927,9.213149687385467,-8.629611247812363e-09,9.719314413086368e-07,-0.564450001145121,-1.7363127380320975e-08,8.49363395729658e-07,-1.6338500049420788
