tile,mosaic_mean,h1only_mean,h1only_ratio,h1only_fm_sd,h1only_fm_cv,resid_mean,resid_ratio,resid_fm_sd,resid_fm_cv,pfree_mean,pfree_ratio,pfree_fm_sd,pfree_fm_cv,full_mean,full_ratio,full_fm_sd,full_fm_cv,mosaic_fm_sd,mosaic_fm_cv
E-4_N40,0.0035969552118331194,0.008186823688447475,2.276042710099584,0.004982716680141971,0.7826086664037877,0.012656090781092644,3.5185566780084283,0.005604670179750151,0.5030846980013705,0.03131210058927536,8.705168328553567,0.010435114329490527,0.3593902210918782,0.004815379157662392,1.3387375916778028,0.006740423952976265,1.3893574201883738,0.0022159649589212267,1.0529479553930028
E-4_N44,0.004458861891180277,0.010484857484698296,2.351464956884528,0.006610456113679863,0.7420889205609921,0.012696532532572746,2.847482797726199,0.006765982710629436,0.5897138358067361,0.0340731255710125,7.64166426379114,0.01036901308984462,0.32208532685368774,0.007135570514947176,1.6003120726976283,0.004686736909365719,0.5730073975759558,0.002937574561481153,0.7977149368781713
E0_N32,0.0005485074361786246,0.0014009983278810978,2.554201156581685,0.0015154904348772937,0.8723939658394996,0.002249410143122077,4.100965629187101,0.0014948663851380457,0.6682070541270665,0.006837122142314911,12.464957977503813,0.004630179018757121,0.7796808249273041,0.0011841730447486043,2.1589006212907047,0.002949367308338238,1.4563352519480648,0.0006454798313719377,0.9664027198299072
E0_N36,0.0037839191500097513,0.011022252030670643,2.912919540218569,0.007886798573579618,0.7944997575646107,0.011282052844762802,2.9815787276357972,0.005821553014212602,0.6010187703942141,0.020871752873063087,5.515908782831499,0.008638914303389316,0.5017517128382585,0.014368889853358269,3.797356466593965,0.01147894442458349,0.8153458709792955,0.005627316272508811,1.1440286860090496
E0_N40,0.007034722249954939,0.012851566076278687,1.8268761181524982,0.007064799532593067,0.6813596742983739,0.01940140314400196,2.757948708511731,0.009349475050208845,0.5688509346333802,0.02910066395998001,4.136718256384097,0.015483703959464672,0.6013945085763153,0.031412601470947266,4.465364850921937,0.01331748018852617,0.46534112475195283,0.004007042303089708,0.712430815440884
E0_N44,0.005140789784491062,0.015386073850095272,2.992939702866783,0.009584160608434884,0.5929335183958104,0.01574093848466873,3.061968908387699,0.010486429517362355,0.5810830294685709,0.02030516229569912,3.9498137731592404,0.01200395870231021,0.45810719187535587,0.03647647798061371,7.0955007906873355,0.019560184758736616,0.5141855989177913,0.0037727179812870634,0.680104471561606
E4_N32,0.0018241929356008768,0.004725281149148941,2.590340668977794,0.0024802531522394025,0.511953506868117,0.005774440243840218,3.1654767054221464,0.002566730066493963,0.4994972512752646,0.004600076470524073,2.5217050130768315,0.002104203344754178,0.47937264666157936,0.024142466485500336,13.234601458177433,0.013399019680222404,0.5874854754045932,0.0013831221166895244,0.6227401246281644
E4_N36,0.003855551593005657,0.008881383575499058,2.3035312487091977,0.006579446053959032,0.7380631682919916,0.007153100334107876,1.8552728867859765,0.0033193030643907107,0.4815359887151076,0.007736803963780403,2.0066659146296244,0.003440996623620905,0.4691894987422309,0.038316283375024796,9.937951146739739,0.01396777931273245,0.38751736085407024,0.001928180823111303,0.5421418239831336
E4_N40,0.00478370999917388,0.010493368841707706,2.19356291320332,0.0057163619453302365,0.537200809349616,0.010288934223353863,2.1508273338330928,0.0043964612247772575,0.43552162358212126,0.01402271632105112,2.9313474946166815,0.0060436021020874,0.4587541419827867,0.05672020465135574,11.856948824479538,0.015890588194789893,0.30625226414211776,0.0027801165878541326,0.5722353787443778
E4_N44,0.004274509847164154,0.01533324085175991,3.58713429141647,0.007633675741582766,0.584521529885669,0.011228565126657486,2.6268661269097024,0.006489601546824219,0.5680336668687208,0.019215617328882217,4.495396669077852,0.007251739839367489,0.38468345769913187,0.06925705075263977,16.2023373974883,0.017842393855103746,0.26373118911625654,0.002523160594905674,0.5650550619880428
