tile,frame,n,median,iqr,p5,p25,p50,p75,p95,pn5,pn25,pn50,pn75,pn95
E-12_N36,P21_009141_2166_XN_36N010W,57063,139.0322265625,22.646484375,83.66845703125,124.5859375,139.0322265625,147.232421875,161.40869140624997,-2.4446959896507114,-0.6379042690815007,0.0,0.36209573091849934,0.9880767572229396
E-12_N36,P21_009431_2171_XN_37N008W,101537,136.1142578125,20.650390625,92.93398437500001,126.87109375,136.1142578125,147.521484375,170.4326171875,-2.0910148491440457,-0.4476023834294902,0.0,0.5523976165705098,1.661874586210158
E-8_N32,B02_010354_2163_XI_36N008W,770,117.7060546875,50.62744140625,50.687353515625,81.1494140625,117.7060546875,131.77685546875,149.436669921875,-1.3237623571394126,-0.7220716593528476,0.0,0.27792834064715244,0.6267473597916766
E-8_N32,B03_010710_2169_XN_36N006W,34034,166.73095703125,32.87353515625,98.656103515625,144.355712890625,166.73095703125,177.229248046875,190.662890625,-2.070810248793167,-0.6806461195692536,0.0,0.31935388043074636,0.7279999999999996
E-8_N32,B04_011277_2168_XN_36N006W,17732,152.29541015625,35.511962890625,111.67890625,130.860595703125,152.29541015625,166.37255859375,182.816357421875,-1.143741449363042,-0.6035941893480548,0.0,0.39640581065194525,0.859455371690603
E-8_N32,B05_011422_2168_XI_36N005W,33092,87.9375,50.61279296875,49.295458984375,69.97900390625,87.9375,120.591796875,161.41162109374997,-0.7634836717958612,-0.3548212821378612,0.0,0.6451787178621389,1.4516907047416907
E-8_N32,B07_012200_2153_XN_35N005W,38539,123.0302734375,68.43359375,40.28095703125,87.12158203125,123.0302734375,155.55517578125,187.89228515624998,-1.2091914492836349,-0.5247231577144814,0.0,0.4752768422855186,0.9478095210913863
E-8_N32,B09_013334_2143_XN_34N004W,12831,122.2333984375,48.87548828125,40.3681640625,93.3046875,122.2333984375,142.18017578125,177.88671875,-1.6749752739842354,-0.5918858707054158,0.0,0.40811412929458424,1.1386754847797635
E-8_N32,B12_014178_2145_XI_34N007W,144953,143.408203125,46.1962890625,89.970703125,113.76171875,143.408203125,159.9580078125,180.6453125,-1.1567487580594018,-0.6417503435154847,0.0,0.3582496564845154,0.8060627840608813
E-8_N32,B16_015879_2125_XN_32N004W,142408,156.39794921875,45.7158203125,83.2021484375,128.326171875,156.39794921875,174.0419921875,192.116845703125,-1.6011043940785679,-0.614049516160041,0.0,0.385950483839959,0.7813246320466536
E-8_N32,B17_016090_2127_XN_32N005W,214917,155.55078125,39.060546875,84.2578125,133.5947265625,155.55078125,172.6552734375,195.654296875,-1.8251912595629782,-0.5621031051552577,0.0,0.43789689484474226,1.0267013350667533
E-8_N32,B17_016235_2120_XN_32N004W,17303,94.951171875,49.1181640625,65.64755859375,77.6923828125,94.951171875,126.810546875,151.30634765624998,-0.5965942302721832,-0.3513728452989244,0.0,0.6486271547010756,1.1473388074835473
E-8_N32,B17_016367_2117_XN_31N007W,26257,167.923828125,53.3642578125,128.8578125,142.5380859375,167.923828125,195.90234375,221.59628906249998,-0.7320633177783878,-0.4757068350260774,0.0,0.5242931649739226,1.0057754597858903
E-8_N32,B17_016446_2125_XN_32N004W,44924,125.48046875,69.00048828125,71.1474609375,84.872314453125,125.48046875,153.872802734375,186.511279296875,-0.7874293235583422,-0.5885198106331335,0.0,0.4114801893668665,0.88449824149229
E-8_N32,B19_016868_2125_XN_32N004W,7850,117.54638671875,63.19970703125,76.398388671875,88.497314453125,117.54638671875,151.697021484375,183.02080078125,-0.6510789365926773,-0.45963935008846274,0.0,0.5403606499115372,1.0359923667070992
E-8_N32,B19_017079_2126_XN_32N006W,123146,155.18701171875,73.821044921875,81.67919921875,100.6455078125,155.18701171875,174.466552734375,194.9921875,-0.9957568682181823,-0.7388340813107077,0.0,0.2611659186892923,0.5392117630328306
E-8_N32,B19_017145_2132_XN_33N008W,14965,137.50390625,67.4521484375,98.91328125,111.3603515625,137.50390625,178.8125,200.8734375,-0.572118544685903,-0.3875866861635129,0.0,0.6124133138364871,0.9394738747086331
E-8_N32,B20_017369_2147_XN_34N004W,77960,133.97900390625,42.58447265625,90.04560546875,112.259521484375,133.97900390625,154.843994140625,178.059619140625,-1.0316764702509948,-0.5100329079380368,0.0,0.48996709206196326,1.0351335236719295
E-8_N32,D04_028907_2146_XI_34N003W,6680,116.4482421875,20.868896484375,93.278076171875,106.340576171875,116.4482421875,127.20947265625,141.485546875,-1.1102726985575404,-0.48434118321459074,0.0,0.5156588167854093,1.1997426268440208
E-8_N32,D19_034564_2152_XN_35N007W,8353,169.716796875,37.5693359375,119.0828125,148.3134765625,169.716796875,185.8828125,206.73164062499998,-1.347747654077097,-0.5697018533440773,0.0,0.43029814665592264,0.9852408307556336
E-8_N32,D19_034709_2156_XN_35N007W,222,165.81787109375,30.72412109375,123.48544921875,142.88623046875,165.81787109375,173.6103515625,185.13559570312498,-1.3778236892710136,-0.7463725505776901,0.0,0.2536274494223098,0.6287478346550539
E-8_N32,D22_035843_2149_XN_34N008W,65366,140.0654296875,24.617919921875,113.554931640625,129.087890625,140.0654296875,153.705810546875,167.003173828125,-1.0768780681311052,-0.4459165964198939,0.0,0.5540834035801061,1.0942331531710219
E-8_N32,F01_036199_2148_XN_34N007W,557,130.345703125,20.791015625,102.586328125,115.958984375,130.345703125,136.75,146.0904296875,-1.3351620479098172,-0.6919680601221231,0.0,0.3080319398778769,0.7572851103804605
E-8_N32,F01_036265_2135_XN_33N006W,72785,112.5283203125,28.34765625,80.0748046875,99.7041015625,112.5283203125,128.0517578125,166.70253906250002,-1.1448394653438059,-0.4523907950943916,0.0,0.5476092049056084,1.9110651784483954
