arm,tile,r0,c0,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio
baseline,E8_N40,469,0,219948,14,0.3502146086468821,0.24519326912184902,0.3359453168779731,0.10502133952503306,1.042475042966865
baseline,E8_N40,469,469,219945,10,0.36920907739009395,0.14786344184461278,0.1946056481824483,0.22134563554548117,1.897216657575889
baseline,E8_N40,469,938,219947,11,0.09003240251470093,0.02784626127664948,0.04938455729618592,0.062186141238051454,1.8230881766283311
baseline,E8_N40,938,0,219939,8,0.05533144730639833,0.05101836697576909,0.08670944126602634,0.004313080330629236,0.6381248281446114
baseline,E8_N40,938,469,219953,6,0.17019367484033313,0.0802844899539157,0.12104334024914172,0.08990918488641743,1.4060556697297513
baseline,E8_N40,938,938,219946,11,0.10836324402274383,0.044409410825317845,0.0687365019957318,0.06395383319742598,1.5765021622641295
a1,E8_N40,0,0,216168,8,0.18716409375311777,0.14068824091177803,0.18293529891078772,0.04647585284133973,1.0231163415016602
a1,E8_N40,0,469,219952,7,0.08720054780594821,0.042350188545347146,0.061023828358433466,0.04485035926060107,1.4289589845750335
a1,E8_N40,0,938,219936,12,0.10059402372453513,0.047948405242578936,0.07223372598806761,0.052645618481956195,1.3926185081626883
a1,E8_N40,469,0,219948,14,0.3096665985998032,0.19846077749048213,0.26974910960422244,0.11120582110932109,1.1479800584111213
a1,E8_N40,469,469,219945,10,0.19302913659256485,0.05984772086610386,0.0784370220505461,0.13318141572646097,2.460944226926077
a1,E8_N40,469,938,219947,11,0.1157717665719919,0.02785603830851314,0.04934167999313752,0.08791572826347877,2.3463280250711676
a1,E8_N40,938,0,219939,8,0.04234496869818454,0.04014811969389285,0.06819782017564831,0.0021968490042916927,0.6209138149741749
a1,E8_N40,938,469,219953,6,0.11449992565591575,0.04516025554061523,0.07109995736165392,0.06933967011530053,1.6104077963578158
a1,E8_N40,938,938,219946,11,0.10188019366037047,0.04939286121783003,0.07527041383249802,0.052487332442540446,1.3535224329586941
baseline,E8_N44,0,0,219948,9,0.19418509156079372,0.07958276623066105,0.11210278540797838,0.11460232533013268,1.732205768608614
baseline,E8_N44,0,469,219946,7,0.24330967634273928,0.04377544039412031,0.07469132349163604,0.19953423594861897,3.2575360158129367
baseline,E8_N44,0,938,219941,12,0.5296330093527569,0.13635468664944977,0.19696599185752775,0.39327832270330715,2.6889566282886976
baseline,E8_N44,469,0,219948,5,0.04597728886526669,0.023620390134769107,0.03773384573534285,0.022356898730497583,1.2184628407011995
baseline,E8_N44,469,469,219952,7,0.21569208922610322,0.06359179310405524,0.10812202423756477,0.15210029612204798,1.9948950340791478
baseline,E8_N44,469,938,219952,5,0.12646415692451457,0.03125297232723511,0.05563907935038291,0.09521118459727945,2.2729376258747216
baseline,E8_N44,938,0,213480,5,0.03087348719093739,0.019984247051761977,0.03400897864903351,0.010889240139175412,0.9078040099217968
baseline,E8_N44,938,469,219949,6,0.0951492978209174,0.03337230977482937,0.06401856727481724,0.06177698804608803,1.4862765892973357
baseline,E8_N44,938,938,219946,6,0.23368545822400325,0.058265140173915354,0.11093806415198815,0.1754203180500879,2.1064497565402607
a1,E8_N44,0,0,219948,9,0.16115066799039535,0.06432750145373406,0.08494354360554537,0.09682316653666129,1.8971502853558246
a1,E8_N44,0,469,219946,7,0.20690763389887748,0.030703526219543215,0.06142503736211606,0.17620410767933425,3.3684575994493073
a1,E8_N44,0,938,219941,12,0.47824857804407006,0.10490830468780932,0.15189333156168752,0.37334027335626074,3.1485817917545766
a1,E8_N44,469,0,219948,5,0.05428773476962186,0.012334741455191736,0.022316756327302758,0.04195299331443013,2.432599701023987
a1,E8_N44,469,469,219952,7,0.11654473186417363,0.034881656925187216,0.06155380228221247,0.08166307493898642,1.8933798976355385
a1,E8_N44,469,938,219952,5,0.0629443773150226,0.020319272590736782,0.034358183250521264,0.04262510472428582,1.8320054019173917
a1,E8_N44,938,0,213480,5,0.03935821256579316,0.024399907913017386,0.040667810918221706,0.014958304652775773,0.9677976679132791
a1,E8_N44,938,469,219949,6,0.07381359404756495,0.041155912100431256,0.07067722639452975,0.03265768194713369,1.044375930027695
a1,E8_N44,938,938,219946,6,0.2403800471461285,0.07050484261677813,0.14341594915995695,0.1698752045293504,1.6761040076374214
