arm,tile,r0,c0,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio
baseline,E-8_N32,469,0,219950,13,0.040153292949603445,0.026357818874966542,0.0735985504126578,0.013795474074636903,0.5455717908093161
baseline,E-8_N32,469,469,219942,7,0.04309779414369323,0.017509624510610416,0.029427458224455205,0.025588169633082816,1.4645435502777309
baseline,E-8_N32,469,938,219922,12,0.043368523300888674,0.036613780787026616,0.04897349707832332,0.006754742513862058,0.8855508772740772
baseline,E-8_N32,938,0,219939,10,0.11370490589313573,0.08836848052739865,0.11365644202463872,0.025336425365737075,1.0004264067010518
baseline,E-8_N32,938,469,219600,6,0.08661647496318371,0.020948273912450376,0.035679263541109695,0.06566820105073334,2.4276418952253342
baseline,E-8_N32,938,938,219932,8,0.03388332686815658,0.0069071916892606226,0.014959978716377786,0.02697613517889596,2.2649314889106105
a1,E-8_N32,0,0,219942,19,0.1865466804335241,0.03752610566633468,0.06313633218559668,0.1490205747671894,2.954664516860881
a1,E-8_N32,0,469,219945,14,0.15733991768361485,0.07454137169277504,0.11992106765870854,0.08279854599083981,1.3120289933658624
a1,E-8_N32,0,938,219932,13,0.025836551603584102,0.02126436095382238,0.02856076722135275,0.00457219064976172,0.9046168614219875
a1,E-8_N32,469,0,219950,13,0.06879132182912921,0.03561279013546812,0.08264382717262048,0.03317853169366109,0.8323830609325831
a1,E-8_N32,469,469,219942,7,0.04728793032102082,0.013384750436744553,0.021347192865142885,0.03390317988427627,2.2151826059638826
a1,E-8_N32,469,938,219922,12,0.013354592050923144,0.018474099355492636,0.02527253901498687,-0.005119507304569492,0.5284230461768695
a1,E-8_N32,938,0,219939,10,0.18234438380891838,0.08250224304978634,0.11778136381722892,0.09984214075913203,1.5481598947340873
a1,E-8_N32,938,469,219600,6,0.1036966162227426,0.03350117801753845,0.053252375955072456,0.07019543820520414,1.947267410382375
a1,E-8_N32,938,938,219932,8,0.015581789277177377,0.005814926284821005,0.010000345290070517,0.009766862992356372,1.5581251272042331
baseline,E-8_N36,0,0,219945,9,0.09428821467403045,0.031098467926501432,0.0454626072738496,0.06318974674752902,2.0739728829469417
baseline,E-8_N36,0,469,219946,8,0.06295481637435572,0.03666237671070613,0.04994238407522189,0.026292439663649594,1.260548881277571
baseline,E-8_N36,0,938,219941,10,0.14573414990578032,0.03289734349015287,0.04781192289487068,0.11283680641562745,3.048071298580105
baseline,E-8_N36,469,0,219939,11,0.38219391468557706,0.06562178293160384,0.10280407519286866,0.31657213175397325,3.7176922604337497
baseline,E-8_N36,469,469,219928,13,0.15261804548638883,0.03354637975556141,0.04284306514857433,0.11907166573082742,3.5622578580017263
baseline,E-8_N36,469,938,219945,11,0.13656685334749025,0.06865470660045822,0.08684620181865299,0.06791214674703203,1.5725138289025111
baseline,E-8_N36,938,0,219947,6,0.4389086109274741,0.22116794810271526,0.2613034630156101,0.21774066282475882,1.6796892236413032
baseline,E-8_N36,938,469,219943,7,0.1880776304390524,0.12483922882054566,0.18386792523780304,0.06323840161850675,1.0228952667835067
baseline,E-8_N36,938,938,219943,11,0.19509837546554348,0.1161952634273619,0.1501744261838813,0.07890311203818158,1.2991451369133582
a1,E-8_N36,0,0,219945,9,0.1609223820110347,0.06288125863849761,0.09892858597422478,0.09804112337253709,1.6266519977649536
a1,E-8_N36,0,469,219946,8,0.05732645657438958,0.03256201159430758,0.04653896886343609,0.024764444980082005,1.2317947297588023
a1,E-8_N36,0,938,219941,10,0.05936107132035227,0.01852346630412832,0.03232860744152614,0.04083760501622395,1.8361778009684047
a1,E-8_N36,469,0,219939,11,0.23329726881274535,0.040714388161578643,0.06567335653226129,0.1925828806511667,3.552388382922696
a1,E-8_N36,469,469,219928,13,0.08459778218290907,0.028676028502316302,0.05208502964399738,0.05592175368059277,1.6242245182759278
a1,E-8_N36,469,938,219945,11,0.17617637461843907,0.10595700742440917,0.1470459971400685,0.07021936719402991,1.1981038453608668
a1,E-8_N36,938,0,219947,6,0.5727856148462511,0.26134143755057626,0.33639570934230384,0.31144417729567486,1.702713794911711
a1,E-8_N36,938,469,219943,7,0.2749340884099014,0.13412924641815868,0.19713668477235421,0.14080484199174273,1.394636866940238
a1,E-8_N36,938,938,219943,11,0.4892834357793876,0.19603855735820713,0.2937463029669614,0.29324487842118047,1.6656667023122291
baseline,E-8_N40,0,0,219947,8,0.1843108415040733,0.11430858737922733,0.16245392594437771,0.07000225412484595,1.1345422428706287
baseline,E-8_N40,0,469,219949,11,0.2777635447944076,0.16390494098291897,0.2565245175774448,0.11385860381148866,1.0827953110195432
baseline,E-8_N40,0,938,219905,8,0.14678225117294064,0.07528502503400916,0.15648818198460207,0.07149722613893147,0.937976589103601
baseline,E-8_N40,469,0,219954,6,0.25664419889945667,0.11709315044678455,0.16597811109552874,0.13955104845267213,1.5462532812639678
baseline,E-8_N40,469,469,219945,7,0.15362581366260078,0.09289121687469873,0.1458433037616807,0.06073459678790205,1.0533621338806018
baseline,E-8_N40,469,938,219940,8,0.1081709363986053,0.01953858606280652,0.03333146605407769,0.08863235033579878,3.245309888953172
baseline,E-8_N40,938,0,219945,9,0.14752917929695197,0.09577616978353636,0.12397629355256488,0.05175300951341562,1.189978947341258
baseline,E-8_N40,938,469,219950,6,0.02584245144896205,0.013636086638947383,0.022697554038705103,0.012206364810014667,1.1385566658369486
baseline,E-8_N40,938,938,219936,10,0.24985002423877412,0.08346603853851817,0.1252510557772862,0.16638398570025595,1.994793757930809
a1,E-8_N40,0,0,219947,8,0.19775788793912077,0.11920541925906232,0.16615138517921507,0.07855246868005845,1.1902271397004252
a1,E-8_N40,0,469,219949,11,0.3491743305225747,0.18807066137227454,0.2935387401196766,0.16110366915030014,1.1895340641586705
a1,E-8_N40,0,938,219905,8,0.21542749483051632,0.09635783012308123,0.15714068305571818,0.11906966470743509,1.3709212066625107
a1,E-8_N40,469,0,219954,6,0.041217294531221756,0.01100536191060296,0.018365259772405943,0.030211932620618796,2.2443077332971524
a1,E-8_N40,469,469,219945,7,0.13150244558720217,0.06978554846528308,0.11350725209857397,0.06171689712191909,1.1585378304551017
a1,E-8_N40,469,938,219940,8,0.07472451047892552,0.01661431080435891,0.025365296302434046,0.05811019967456661,2.9459348547706488
a1,E-8_N40,938,0,219945,9,0.023341963878337223,0.028911975062253053,0.047817934217263845,-0.00557001118391583,0.4881424565996832
a1,E-8_N40,938,469,219950,6,0.02575647495670525,0.009503202161628694,0.016785978467421477,0.01625327279507656,1.5344041460969269
a1,E-8_N40,938,938,219936,10,0.1625738277901464,0.06060483803706679,0.09431006486709881,0.10196898975307961,1.7238226696084291
baseline,E-8_N44,0,0,219950,5,0.40751351221598486,0.14030723306377008,0.28861207865722194,0.2672062791522148,1.4119766369860753
baseline,E-8_N44,0,469,219939,7,0.15332542993543374,0.033285616501368735,0.05105129241235343,0.120039813434065,3.003360398733646
baseline,E-8_N44,0,938,218353,6,0.08350449708681816,0.0133208101763502,0.0214978743970198,0.07018368691046796,3.8843141207669443
baseline,E-8_N44,469,0,219953,6,0.28589825196941554,0.11031373857709643,0.15730278703926934,0.17558451339231912,1.817502775065539
baseline,E-8_N44,469,469,219951,8,0.21910263468669802,0.08390499784813517,0.11197264846160576,0.13519763683856284,1.956751382564877
baseline,E-8_N44,469,938,219949,4,0.12026225254539741,0.040625101545031246,0.05679696412421787,0.07963715100036617,2.1174063508461067
baseline,E-8_N44,938,0,219938,14,0.1411127081215101,0.04533129290840311,0.07510305357409373,0.095781415213107,1.878921047894462
baseline,E-8_N44,938,469,219942,15,0.06499402835791714,0.04325886768629828,0.05947300171004583,0.021735160671618854,1.0928324868280312
baseline,E-8_N44,938,938,219943,5,0.14315187680693137,0.04571015257558451,0.07484156403487285,0.09744172423134687,1.9127322985958568
a1,E-8_N44,0,0,219950,5,0.24754270958284438,0.0850009770098508,0.1693023238064372,0.1625417325729936,1.4621341516012454
a1,E-8_N44,0,469,219939,7,0.1584506059913647,0.06774920402017258,0.09163393246000094,0.09070140197119213,1.7291695525620911
a1,E-8_N44,0,938,218353,6,0.06190355707620607,0.012128736249833188,0.02377909700964998,0.04977482082637288,2.603276190474537
a1,E-8_N44,469,0,219953,6,0.2103118970938174,0.06737428261456471,0.08864743648724624,0.14293761447925268,2.372453230771937
a1,E-8_N44,469,469,219951,8,0.15930845262723733,0.06973494255618054,0.09941318458111907,0.0895735100710568,1.6024881739629313
a1,E-8_N44,469,938,219949,4,0.13931961040552704,0.062164828367235025,0.0891946043032594,0.07715478203829201,1.5619735240020112
a1,E-8_N44,938,0,219938,14,0.14902059881150798,0.03271655577404423,0.0630426595438255,0.11630404303746375,2.363805713302958
a1,E-8_N44,938,469,219942,15,0.114590062620344,0.02614746826770097,0.048859846297901195,0.08844259435264304,2.345280865635189
