tile,variant,n_finite,coverage,prob_mean,rich_share_at_0p5,abundance_mean,abundance_saturated_frac,overlap_dp_median,partition_coverage,mean_n_frames,max_n_frames
E-4_N44,h1only,2184872,0.9988255683238999,0.4058404266834259,0.3650918680819746,0.010385135471381143,0.0,0.21633461117744446,0.9904404278789691,2.0511929988861084,7
E-4_N44,full,2184872,0.9988255683238999,0.341630756855011,0.28221104028062055,0.007086166455767008,0.0,0.18955469131469727,0.9904404278789691,2.0511929988861084,7
E-4_N44,resid,2184872,0.9988255683238999,0.46635952591896057,0.4362040430743769,0.012620875828539192,0.0,0.2022179365158081,0.9904404278789691,2.0511929988861084,7
E-4_N44,pfree,2184872,0.9988255683238999,0.7946768999099731,0.8918430919522974,0.03401249288174468,9.153854321900779e-07,0.13402462005615234,0.9904404278789691,2.0511929988861084,7
E0_N32,h1only,2187441,1.0,0.14927151799201965,0.024296883893097,0.0014089324780487589,0.0,0.1314782351255417,0.9921392165548694,2.9389514923095703,9
E0_N32,full,2187441,1.0,0.12579713761806488,0.027375366924182184,0.0011875604052109397,0.0,0.10473588109016418,0.9921392165548694,2.9389514923095703,9
E0_N32,resid,2187441,1.0,0.19447743892669678,0.06384675060950215,0.00226196811225103,0.0,0.15959295630455017,0.9921392165548694,2.9389514923095703,9
E0_N32,pfree,2187441,1.0,0.36113157868385315,0.2997127693958374,0.0068600681221816,0.0,0.21088935434818268,0.9921392165548694,2.9389514923095703,9
E0_N36,h1only,2186443,0.9995437591231032,0.4282381534576416,0.3793599924626437,0.010941431185845204,0.0,0.31714439392089844,0.995432562523972,3.25370192527771,11
E0_N36,full,2186443,0.9995437591231032,0.4858101010322571,0.4688409439441138,0.014268504062784217,0.0,0.25769513845443726,0.995432562523972,3.25370192527771,11
E0_N36,resid,2186443,0.9995437591231032,0.4581526815891266,0.4149726290600761,0.011192846192431131,0.0,0.30938297510147095,0.995432562523972,3.25370192527771,11
E0_N36,pfree,2186443,0.9995437591231032,0.6473701596260071,0.7278712502452613,0.02074461321544086,0.0,0.2819352149963379,0.995432562523972,3.25370192527771,11
E0_N40,h1only,2132851,0.9750438983268578,0.46211695671081543,0.41992291069559007,0.01286865094391056,0.0,0.23001351952552795,0.9635981039031453,2.035341501235962,8
E0_N40,full,2132851,0.9750438983268578,0.7448409199714661,0.8091357530366632,0.03144809494874891,1.4065680162374212e-06,0.15936005115509033,0.9635981039031453,2.035341501235962,8
E0_N40,resid,2132851,0.9750438983268578,0.595991849899292,0.614367810972262,0.019443633715495238,0.0,0.23288339376449585,0.9635981039031453,2.035341501235962,8
E0_N40,pfree,2132851,0.9750438983268578,0.7132116556167603,0.7693856720417882,0.029169622665782168,2.3442800270623685e-06,0.15916693210601807,0.9635981039031453,2.035341501235962,8
E0_N44,h1only,2130442,0.973942611480721,0.49636414647102356,0.47647952866118864,0.015545393922668665,0.0,0.1718609631061554,0.9332443709338903,1.5845547914505005,7
E0_N44,full,2130442,0.973942611480721,0.7556942701339722,0.8029507491872578,0.03668648750367993,1.1265267958479978e-05,0.09311792254447937,0.9332443709338903,1.5845547914505005,7
E0_N44,resid,2130442,0.973942611480721,0.507243812084198,0.48829867229429386,0.01582400879685403,0.0,0.17362482845783234,0.9332443709338903,1.5845547914505005,7
