poly,Unit,UnitDesc,area_km2,n_cells,ab_sum,praw_sum,rich_sum,ab_zero_frac,ab_p50,praw_p50,ab_p75,praw_p75,ab_p90,praw_p90,ab_p99,praw_p99,ab_mean,praw_mean,rich_mean
28,AHi,Amazonian and Hesperian impact unit,11340.847833002854,443063,328.92573449307577,21711.865002045524,1232.0,0.512669755768367,0.0,0.019660452380776405,0.0007421874906867743,0.05628112517297268,0.001992187462747097,0.12694880366325378,0.008710937574505806,0.4016830289363865,0.0007423904376873623,0.04900401297794112,0.0027806429333977335
29,AHi,Amazonian and Hesperian impact unit,205.98418508308544,7953,1.3671780023578322,125.07394438818665,3.0,0.8414434804476298,0.0,0.004780166782438755,0.0,0.012885118834674358,0.0003515625139698386,0.03248572498559952,0.0034765624441206455,0.1967743438482283,0.00017190720512483745,0.015726637041140027,0.0003772161448509996
30,Hto,Hesperian transition outflow unit,922857.551785016,35814922,92783.22423597595,4274161.6164346635,2079509.0,0.3653041042501782,0.00042968749767169356,0.037161778658628464,0.0019205487333238125,0.12325099855661392,0.007930402085185063,0.3699082672595979,0.02906900145113467,0.8722939711809157,0.002590630358931843,0.1193402464044083,0.05806264215792512
31,Nhu,Noachian highland undivided unit,147707.89566562983,5747315,3988.5619447766867,260275.4158636017,25356.0,0.5651879181844044,0.0,0.01599951460957527,0.0005859375232830644,0.046253032982349396,0.0017968750325962901,0.11554927378892901,0.009531250223517418,0.43436193048954064,0.0006939870086773887,0.04528643651228473,0.004411799248866644
32,lNh,Late Noachian highland unit,8569.367293505478,333439,39.65107997746793,3725.12070273318,277.0,0.9003535879126316,0.0,0.0030332785099744797,0.0,0.00815754383802414,0.0,0.02067390531301499,0.002635765476152286,0.1584097868204116,0.0001189155437050493,0.011171820641056325,0.0008307366564798958
33,AHv,Amazonian and Hesperian volcanic,5259.965477577903,205442,40.42478522711309,3790.2830503608293,80.0,0.782434945142668,0.0,0.007064232602715492,0.0,0.017911420669406652,0.0005078124813735485,0.041876855492591854,0.003281249897554517,0.1894074925780296,0.00019676981935102408,0.018449406890318577,0.00038940430875867644
34,AHv,Amazonian and Hesperian volcanic,11175.027205875274,435740,495.99572940140354,28958.827102729338,4609.0,0.4447491623445174,0.00023437499476131052,0.02609734982252121,0.001015624962747097,0.07244899496436119,0.002968749962747097,0.17390605807304385,0.013427034998312536,0.5710414719581594,0.0011382836769665478,0.06645895970700266,0.01057740854638087
35,AHv,Amazonian and Hesperian volcanic,2804.1342278604043,109019,13.197235306922607,1485.33222219054,27.0,0.8521083480861135,0.0,0.005761151202023029,0.0,0.01303706830367446,0.0002734375011641532,0.027955507859587666,0.002304687397554517,0.14287219226360173,0.00012105445203976011,0.013624526203602492,0.0002476632513598547
37,AHi,Amazonian and Hesperian impact unit,116184.3233751157,3109873,115.98994278911636,17035.964832909493,297.0,0.955527444368307,0.0,0.0018442219588905573,0.0,0.004189953673630953,0.0,0.010038467682898077,0.0008984375162981451,0.06692732721567134,3.729732461393644e-05,0.005478025897813027,9.550229221579145e-05
38,mNh,Middle Noachian highland unit,1903466.9584927615,34498689,44975.37904775449,2434619.157922869,539727.0,0.5182426787290381,0.0,0.018700644373893738,0.0010546875419095159,0.07534492015838623,0.0036328125279396772,0.2040027022361755,0.015832638293504675,0.6425014352798457,0.0013036837152784122,0.07057135295555345,0.01564485537406943
39,eNh,Early Noachian highland unit,79746.71728777107,275498,479.22717843113963,26908.417140501406,3118.0,0.3069750052631961,0.0007031250279396772,0.05293571390211582,0.0021484375465661287,0.13408023491501808,0.004804687574505806,0.2526974737644196,0.013658022563904517,0.578677989244461,0.001739494219308814,0.09767191464366858,0.011317686516780522
41,lNh,Late Noachian highland unit,29415.158634503245,30895,0.19025718561351823,116.28768162374035,0.0,0.9854345363327399,0.0,0.00221079308539629,0.0,0.004371131304651499,0.0,0.007968734204769136,0.00023437499476131052,0.02476001512259251,6.1581869433085685e-06,0.0037639644480899938,0.0
43,AHi,Amazonian and Hesperian impact unit,12815.42842743426,497020,340.30339460038454,22761.51678894488,1355.0,0.5268218582753209,0.0,0.01861756667494774,0.0006640625069849193,0.05163898225873709,0.0017968750325962901,0.11657302826642993,0.008359375409781933,0.38648268043994904,0.0006846875268608597,0.04579597760441205,0.0027262484407066115
45,AHi,Amazonian and Hesperian impact unit,25576.729528996948,992560,1125.459863193278,68024.3143793258,8330.0,0.3536682920931732,0.0003906250058207661,0.03432648628950119,0.0011328124674037099,0.07939762435853481,0.0027734374161809683,0.16498065441846846,0.012226562947034836,0.5312902015447628,0.0011338960498038183,0.0685342088934934,0.008392439751753043
46,AHi,Amazonian and Hesperian impact unit,27106.963109808486,1053144,35.12191799087224,6222.952732950031,20.0,0.9503135373700082,0.0,0.0022907042875885963,0.0,0.005400293390266597,0.0,0.012200893647968773,0.0008593749953433871,0.06261587336659431,3.334958751212772e-05,0.00590892862984552,1.8990755300319805e-05
47,AHi,Amazonian and Hesperian impact unit,8205.571383845829,320539,56.08870011210041,5449.807644838482,70.0,0.7846907864565622,0.0,0.0062238192185759544,0.0,0.017594083212316036,0.0005078124813735485,0.04123600572347642,0.0026953124906867743,0.16146637082099913,0.00017498245178309164,0.01700201112762716,0.00021838216254496334
48,AHi,Amazonian and Hesperian impact unit,11370.909475724537,444203,14.319327474134155,2422.263533003048,3.0,0.9520624579302707,0.0,0.001970730721950531,0.0,0.00455753318965435,0.0,0.010939147882163524,0.0008593749953433871,0.0632636982202526,3.223599902327124e-05,0.005453055321560296,6.753668930646574e-06
49,AHi,Amazonian and Hesperian impact unit,10034.419431141541,389790,26.248382273494478,3093.2152820979636,51.0,0.9230919212909515,0.0,0.002290798118337989,0.0,0.005857125390321016,0.0,0.015955270640552074,0.0014843749813735485,0.10014717705547799,6.733980418557294e-05,0.007935594248436244,0.00013083968290618025
50,lHt,Late Hesperian transition unit,35825.182618374536,1362527,1601.2798547452321,95196.88603740439,12582.0,0.413653454206779,0.0003124999930150807,0.028429938480257988,0.0010937500046566129,0.07729645818471909,0.0032421874348074198,0.18610505163669594,0.012812499888241291,0.5513929390907287,0.0011752279806163343,0.06986788961789703,0.009234312420964869
51,lHt,Late Hesperian transition unit,186435.39036105,7186635,6405.43570308155,402011.3427413901,45214.0,0.4766117939759011,0.00011718749738065526,0.022486699745059013,0.0007812500116415322,0.05853261239826679,0.0022656249348074198,0.14139642119407655,0.011054253634065394,0.49083987593650824,0.0008912983201570067,0.05593874500950585,0.0062914006346502915
52,HNt,Hesperian and Noachian transition unit,53931.28833954755,2093060,1519.098567008473,100323.62934644225,7276.0,0.5181432925955299,0.0,0.01934231538325548,0.0007031250279396772,0.05274869315326214,0.001914062537252903,0.12134452760219576,0.009062499739229679,0.41563883572816773,0.0007257787961207386,0.04793155922259383,0.0034762500836096433
53,lHl,Late Hesperian lowland unit,2094337.3218639444,80899047,651301.8359365372,22365216.823242575,16754901.0,0.17266717616587005,0.002031249925494194,0.12935125827789307,0.010273437947034836,0.4622442424297333,0.025127869099378586,0.8278663158416748,0.05816985957324522,0.9828198873996739,0.008050797383763214,0.2764583471946533,0.20710875617607707
54,AHi,Amazonian and Hesperian impact unit,13409.43141954455,523803,1652.4398066591434,80249.1410025095,28387.0,0.16662180247153988,0.0012499999720603228,0.08583123981952667,0.0033593750558793545,0.19252700358629227,0.008710937574505806,0.4026113212108611,0.025696797221898965,0.8344275915622703,0.0031546971030313752,0.15320481364656083,0.05419403859848072
55,HNt,Hesperian and Noachian transition unit,13795.019084230793,536760,1430.7399658407915,73772.04645210883,18303.0,0.14740479916536253,0.0011328124674037099,0.07925065979361534,0.002993808826431632,0.17489273101091385,0.0073828124441206455,0.3488966733217241,0.020154631938785323,0.7470454472303392,0.002665511524407168,0.13743953806563236,0.03409903867650346
56,lNh,Late Noachian highland unit,10068.555771843427,391673,132.89008750621454,10834.194805501134,313.0,0.6498686404219847,0.0,0.012098117731511593,0.0003124999930150807,0.030477266758680344,0.0008984375162981451,0.06613581925630568,0.0044921874068677425,0.24025899291038325,0.0003392883540765244,0.027661326681954423,0.0007991360139708379
57,AHv,Amazonian and Hesperian volcanic,14932.593815809825,582886,616.3446906336011,37268.072552079626,4957.0,0.4167984820359384,0.00029392880969680846,0.028142835944890976,0.001015624962747097,0.07192129828035831,0.0026562500279396772,0.1593128815293312,0.012305040936917092,0.5338294148445133,0.0010574017743325472,0.06393715503902929,0.008504235819697161
58,AHi,Amazonian and Hesperian impact unit,28587.9359404788,1110721,3022.6348736251302,145163.50804184852,61752.0,0.28202942052954794,0.0007031250279396772,0.052702344954013824,0.0024999999441206455,0.15132208168506622,0.008509339764714241,0.3920247256755829,0.025544432923197767,0.8330439448356631,0.002721326844117587,0.13069304356525943,0.05559631986790562
59,mNh,Middle Noachian highland unit,237974.51192510026,9273652,30689.1040049468,1308431.0029154338,675728.0,0.3842719135891664,0.0005078124813735485,0.042306285351514816,0.002904488588683307,0.1714564561843872,0.010117187164723873,0.4563995152711869,0.0355824149399996,0.9200763362646104,0.003309279235941439,0.14109123384352074,0.07286536091714461
60,eHh,Early Hesperian highland unit,1252.1400379060838,48633,583.1434915920345,22595.942633634142,18927.0,0.015730059835913884,0.010303037241101265,0.4635101556777954,0.017343750223517418,0.6810451745986938,0.024375235289335252,0.8179356098175049,0.039914102703332906,0.9413292121887207,0.011990695445315619,0.46462160741953284,0.3891801862932577
61,AHi,Amazonian and Hesperian impact unit,20452.182292352547,793414,3027.674535791803,136460.34240956756,58186.0,0.17587665455865412,0.0013281250139698386,0.09137650579214096,0.004101562313735485,0.22360054403543472,0.010548747703433049,0.4734472095966341,0.03295763138681648,0.903282898068428,0.0038160084593816127,0.17199134677427869,0.07333624060074564
62,lNh,Late Noachian highland unit,208018.53551774682,8093100,183771.8405369415,4110372.325094235,3815665.0,0.09530921402182106,0.011196740437299013,0.4964134991168976,0.03721949923783541,0.9293235242366791,0.06479972079396248,0.9885703384876252,0.10107135027647018,0.9983378052711487,0.022707224739215073,0.5078860171126311,0.47147137685188617
64,lNh,Late Noachian highland unit,172667.28273898386,4789076,27171.554918799113,1133418.0022306389,607131.0,0.1147334057759785,0.0023437500931322575,0.14384807646274567,0.0072656250558793545,0.34345123916864395,0.015390625223517418,0.6306988000869751,0.0409455643966794,0.9449777156114578,0.00567365289646669,0.23666736594504637,0.12677414181775357
65,eHt,Early Hesperian transition unit,342387.44962237374,12613787,92724.55617330366,3364333.579106435,2257786.0,0.1393342855718112,0.002334271790459752,0.14342187345027924,0.008984374813735485,0.41300947964191437,0.02146558687090874,0.7725365042686463,0.055487750619649945,0.9794707977771759,0.0073510481961764264,0.2667187561599411,0.1789935092450824
66,AHi,Amazonian and Hesperian impact unit,44570.40752905597,1738406,3478.677951439713,191431.220302701,23503.0,0.2503103417728655,0.0008203124743886292,0.06170289032161236,0.0024999999441206455,0.15131613984704018,0.005625000223517418,0.2824147790670395,0.014414062723517418,0.6006371617317192,0.002001073369189771,0.11011882166921938,0.013519856696306846
67,mAl,Middle Amazonian lowland unit,23234.379886135685,905389,6424.506600940644,272067.9836339186,147252.0,0.02605951695900878,0.004218750167638063,0.2295394092798233,0.009648437611758709,0.43917936086654663,0.017327284812927248,0.680194103717804,0.03762310370802878,0.9311150693893432,0.00709585228110861,0.3004984417017642,0.16263948424378913
68,lHl,Late Hesperian lowland unit,40276.33085229134,1568615,9525.401332526102,377789.0943051239,216472.0,0.09704484529345951,0.0022182073444128036,0.13773368299007416,0.007070312276482582,0.3357938379049301,0.01713982895016674,0.6756693482398992,0.04684232018887997,0.9637508904933929,0.0060724915498870675,0.24084245930653722,0.1380019953908384
69,HNt,Hesperian and Noachian transition unit,6281.384491128164,245357,1342.5522201604138,59726.90015599585,27703.0,0.05614675758180936,0.0028331573121249676,0.16772806644439697,0.0073437499813735485,0.34718337655067444,0.014138656109571456,0.5928226351737976,0.03261827260255814,0.9009023714065552,0.005471831739711578,0.2434285557615876,0.11290894492514988
70,AHi,Amazonian and Hesperian impact unit,28274.553801162743,1103274,3968.9262157135636,182804.40403226193,65277.0,0.2423106136825485,0.0012890625512227416,0.08955379575490952,0.0044140624813735485,0.2377019301056862,0.009804687462747097,0.44552878439426424,0.029355015922337788,0.875146543979645,0.0035974075485451155,0.16569266023876383,0.05916662587897476
71,mAl,Middle Amazonian lowland unit,84956.46015008021,3300151,39251.75170833276,1335289.9215329506,1050575.0,0.02981651445645972,0.006718750111758709,0.32114851474761963,0.017070312052965164,0.6741650998592377,0.0317959301173687,0.8943765759468079,0.05859469436109066,0.9833075106143951,0.011893925977427324,0.4046147953632881,0.31834149407102885
72,AHi,Amazonian and Hesperian impact unit,14051.725032693292,547660,2437.429111532054,111037.5564903435,37275.0,0.09401453456524121,0.0022656249348074198,0.14121758192777634,0.0054687499068677425,0.2769140899181366,0.010546875186264515,0.47290787994861616,0.03436458379030246,0.9128136354684838,0.004450624678691257,0.20274907148658566,0.06806230142789321
73,lHt,Late Hesperian transition unit,37438.562005954685,1460191,12193.455746701107,457834.84446862666,316095.0,0.07888899465891791,0.00390625,0.21497417986392975,0.011484375223517418,0.5054186284542084,0.02276064082980156,0.7942924499511719,0.049836746230721526,0.9704670667648316,0.008350589578144987,0.31354449141833274,0.21647510496914446
74,eHt,Early Hesperian transition unit,39046.218195144065,1521397,10213.44517375412,419429.71314139233,237459.0,0.10757152801011176,0.0033984375186264515,0.1946393996477127,0.008945312350988388,0.41106289625167847,0.017567297443747555,0.6871234655380255,0.04162190929055214,0.9475975394248963,0.006713201862337128,0.2756872224287233,0.1560795768625809
